Date,Peak,State,Range,Elevation,Cost,Mode,Time,Difficulty,Personal Rating
,Denali,Alaska,Alaska Range,274,,,,,
,Mount Whitney,California,Sierra Nevada,3368,,,,,
,Mount Elbert,Colorado,Southern Rocky Mountains,1863,,,,,
,Mount Rainier,Washington,Cascade Range,2558,,,,,
,Gannett Peak,Wyoming,Greater Yellowstone Rockies,346,,,,,
,Mauna Kea,Hawaii,Hawaii,723,,,,,
,Kings Peak,Utah,Western Rocky Mountains,807,,,,,
,Wheeler Peak,New Mexico,Southern Rocky Mountains,1021,,,,,
,Boundary Peak,Nevada,Great Basin Ranges,873,,,,,
,Granite Peak,Montana,Greater Yellowstone Rockies,336,,,,,
,Borah Peak,Idaho,Idaho-Bitterroot Rocky Mountains,719,,,,,
,Humphreys Peak,Arizona,Colorado Plateau,1425,,,,,
,Mount Hood,Oregon,Cascade Range,1965,,,,,
,Guadalupe Peak,Texas,Southwest Basins and Ranges,1185,,,,,
,Black Elk Peak,South Dakota,Great Plains,1001,,,,,
,Mount Mitchell,North Carolina,Blue Ridge Mountains,1703,,,,,
,Clingmans Dome,Tennessee,Blue Ridge Mountains,1747,,,,,
,Mount Washington,New Hampshire,Northern U.S. Appalachians,5063,,,,,
,Mount Rogers,Virginia,Blue Ridge Mountains,1097,,,,,
,Panorama Point,Nebraska,Great Plains,760,,,,,
,Mount Marcy,New York,Canadian Shield,2321,,,,,
,Katahdin,Maine,Northern U.S. Appalachians,2043,,,,,
,Black Mesa,Oklahoma,Great Plains,711,,,,,
,Spruce Knob,West Virginia,Appalachian Plateaus,983,,,,,
,Brasstown Bald,Georgia,Blue Ridge Mountains,1153,,,,,
,Mount Mansfield,Vermont,Northern U.S. Appalachians,2036,,,,,
,Black Mountain,Kentucky,Appalachian Plateaus,703,,,,,
,Mount Sunflower,Kansas,Great Plains,785,,,,,
,Sassafras Mountain,South Carolina,Blue Ridge Mountains,940,,,,,
,White Butte,North Dakota,Great Plains,577,,,,,
,Mount Greylock,Massachusetts,Northern U.S. Appalachians,1831,,,,,
,Backbone Mountain,Maryland,Appalachian Plateaus,898,,,,,
,Mount Davis,Pennsylvania,Appalachian Plateaus,999,,,,,
,Magazine Mountain,Arkansas,Ozark Highlands,770,,,,,
,Cheaha Mountain,Alabama,Appalachian Ridges,852,,,,,
,Mount Frissell-South Slope,Connecticut,Northern U.S. Appalachians,1026,,,,,
,Eagle Mountain,Minnesota,Midwest-Great Lakes Area,534,,,,,
,Mount Arvon,Michigan,Midwest-Great Lakes Area,515,,,,,
,Timms Hill,Wisconsin,Midwest-Great Lakes Area,620,,,,,
,High Point,New Jersey,Appalachian Ridges,1111,,,,,
,Taum Sauk Mountain,Missouri,Ozark Highlands,762,,,,,
,Hawkeye Point,Iowa,Great Plains,615,,,,,
,Campbell Hill,Ohio,Midwest-Great Lakes Area,820,,,,,
,Hoosier Hill,Indiana,Midwest-Great Lakes Area,792,,,,,
,Charles Mound,Illinois,Midwest-Great Lakes Area,495,,,,,
,Jerimoth Hill,Rhode Island,Northern U.S. Appalachians,969,,,,,
,Woodall Mountain,Mississippi,Appalachian Plateaus,682,,,,,
,Driskill Mountain,Louisiana,Ozark Highlands,645,,,,,
,Ebright Azimuth,Delaware,Northern U.S. Appalachians,890,,,,,
,Point Reno,District of Columbia,Blue Ridge Mountains,520,,,,,
,Britton Hill,Florida,Piedmont-Southeast Coast,729,,,,,
